Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1953,5.425000,0.009157,-0.005445,0.040354,-0.999129,-3.760533,0.926869,2.429115,0.000000,-3.660864,0.915389,2.315805,0.854919,-3.653597,0.916482,2.537302,0.843516,-3.602567,0.909516,2.422946,0.895660,-3.941325,0.946964,2.363873,0.925962,-3.944312,0.945992,2.505650,0.751760,-3.660864,0.915389,2.315805,-3.653597,0.916482,2.537302,-3.602567,0.909516,2.422946,-3.941325,0.946964,2.363873,-3.944312,0.945992,2.505650,,,
1954,5.427778,0.009131,-0.005462,0.040477,-0.999124,-3.760504,0.926881,2.429094,0.000000,-3.660840,0.915383,2.315779,0.857010,-3.653567,0.916462,2.537276,0.849959,-3.602542,0.909490,2.422919,0.889957,-3.941293,0.947024,2.363857,0.925204,-3.944276,0.946045,2.505635,0.743558,-3.660840,0.915383,2.315779,-3.653567,0.916462,2.537276,-3.602542,0.909490,2.422919,-3.941293,0.947024,2.363857,-3.944276,0.946045,2.505635,,,
1955,5.430556,0.009221,-0.005483,0.040312,-0.999130,-3.760464,0.926926,2.429105,0.000000,-3.660803,0.915441,2.315788,0.849929,-3.653518,0.916562,2.537284,0.849450,-3.602497,0.909586,2.422925,0.893721,-3.941263,0.946998,2.363874,0.914118,-3.944238,0.946043,2.505652,0.736565,-3.660803,0.915441,2.315788,-3.653518,0.916562,2.537284,-3.602497,0.909586,2.422925,-3.941263,0.946998,2.363874,-3.944238,0.946043,2.505652,,,
1956,5.433333,0.009103,-0.005314,0.040303,-0.999132,-3.760592,0.926923,2.429007,0.000000,-3.660891,0.915465,2.315722,0.850180,-3.653683,0.916537,2.537220,0.850248,-3.602622,0.909587,2.422878,0.894009,-3.941369,0.947005,2.363718,0.913942,-3.944393,0.946019,2.505495,0.736320,-3.660891,0.915465,2.315722,-3.653683,0.916537,2.537220,-3.602622,0.909587,2.422878,-3.941369,0.947005,2.363718,-3.944393,0.946019,2.505495,,,
1957,5.436111,0.009009,-0.005338,0.040397,-0.999129,-3.760657,0.926902,2.429016,0.000000,-3.660963,0.915446,2.315725,0.854081,-3.653746,0.916475,2.537224,0.844141,-3.602691,0.909537,2.422878,0.895319,-3.941433,0.947031,2.363738,0.925973,-3.944452,0.946019,2.505515,0.750516,-3.660963,0.915446,2.315725,-3.653746,0.916475,2.537224,-3.602691,0.909537,2.422878,-3.941433,0.947031,2.363738,-3.944452,0.946019,2.505515,,,
1958,5.438889,0.009217,-0.005345,0.040475,-0.999124,-3.760640,0.926876,2.428980,0.000000,-3.660951,0.915358,2.315691,0.853936,-3.653727,0.916479,2.537189,0.843068,-3.602677,0.909485,2.422844,0.893180,-3.941414,0.947006,2.363699,0.925745,-3.944429,0.946054,2.505476,0.749575,-3.660951,0.915358,2.315691,-3.653727,0.916479,2.537189,-3.602677,0.909485,2.422844,-3.941414,0.947006,2.363699,-3.944429,0.946054,2.505476,,,
1959,5.441667,0.008840,-0.005119,0.040503,-0.999127,-3.760489,0.926951,2.428968,0.000000,-3.660745,0.915510,2.315718,0.853124,-3.653629,0.916467,2.537220,0.842764,-3.602524,0.909555,2.422896,0.894092,-3.941231,0.947139,2.363615,0.923205,-3.944314,0.946082,2.505390,0.746807,-3.660745,0.915510,2.315718,-3.653629,0.916467,2.537220,-3.602524,0.909555,2.422896,-3.941231,0.947139,2.363615,-3.944314,0.946082,2.505390,,,
1960,5.444444,0.008976,-0.005336,0.040395,-0.999129,-3.760578,0.926939,2.428989,0.000000,-3.660883,0.915491,2.315698,0.854605,-3.653668,0.916506,2.537197,0.844531,-3.602612,0.909576,2.422851,0.894595,-3.941353,0.947072,2.363711,0.925873,-3.944373,0.946051,2.505488,0.750530,-3.660883,0.915491,2.315698,-3.653668,0.916506,2.537197,-3.602612,0.909576,2.422851,-3.941353,0.947072,2.363711,-3.944373,0.946051,2.505488,,,
1961,5.447222,0.008980,-0.005355,0.040369,-0.999130,-3.760561,0.926970,2.429007,0.000000,-3.660870,0.915527,2.315712,0.853903,-3.653646,0.916543,2.537210,0.843619,-3.602595,0.909615,2.422862,0.895093,-3.941340,0.947093,2.363736,0.926017,-3.944355,0.946072,2.505513,0.751039,-3.660870,0.915527,2.315712,-3.653646,0.916543,2.537210,-3.602595,0.909615,2.422862,-3.941340,0.947093,2.363736,-3.944355,0.946072,2.505513,,,
1962,5.450000,0.009518,-0.005444,0.040122,-0.999135,-3.760431,0.926876,2.429060,0.000000,-3.660759,0.915362,2.315755,0.850416,-3.653486,0.916617,2.537250,0.848985,-3.602457,0.909593,2.422899,0.893554,-3.941234,0.946840,2.363808,0.914052,-3.944216,0.945968,2.505587,0.737431,-3.660759,0.915362,2.315755,-3.653486,0.916617,2.537250,-3.602457,0.909593,2.422899,-3.941234,0.946840,2.363808,-3.944216,0.945968,2.505587,,,
1963,5.452778,0.009082,-0.005386,0.040514,-0.999123,-3.760456,0.926987,2.428941,0.000000,-3.660775,0.915491,2.315642,0.856317,-3.653537,0.916551,2.537140,0.840641,-3.602494,0.909585,2.422790,0.902264,-3.941233,0.947149,2.363678,0.918666,-3.944238,0.946158,2.505456,0.751277,-3.660775,0.915491,2.315642,-3.653537,0.916551,2.537140,-3.602494,0.909585,2.422790,-3.941233,0.947149,2.363678,-3.944238,0.946158,2.505456,,,
1964,5.455556,0.008974,-0.005266,0.040456,-0.999127,-3.760488,0.926939,2.428963,0.000000,-3.660778,0.915479,2.315686,0.860504,-3.653594,0.916493,2.537186,0.851625,-3.602523,0.909557,2.422848,0.889365,-3.941251,0.947093,2.363660,0.926669,-3.944291,0.946072,2.505436,0.744507,-3.660778,0.915479,2.315686,-3.653594,0.916493,2.537186,-3.602523,0.909557,2.422848,-3.941251,0.947093,2.363660,-3.944291,0.946072,2.505436,,,
1965,5.458333,0.009368,-0.005276,0.040686,-0.999114,-3.760662,0.926838,2.429006,0.000000,-3.660963,0.915243,2.315733,0.855291,-3.653768,0.916428,2.537232,0.845999,-3.602705,0.909378,2.422896,0.895857,-3.941419,0.947023,2.363695,0.926177,-3.944453,0.946116,2.505472,0.752477,-3.660963,0.915243,2.315733,-3.653768,0.916428,2.537232,-3.602705,0.909378,2.422896,-3.941419,0.947023,2.363695,-3.944453,0.946116,2.505472,,,
1966,5.461111,0.008959,-0.005229,0.040645,-0.999120,-3.760650,0.926825,2.429008,0.000000,-3.660935,0.915330,2.315738,0.853987,-3.653769,0.916336,2.537238,0.843081,-3.602691,0.909383,2.422904,0.894519,-3.941401,0.947049,2.363690,0.926070,-3.944452,0.946026,2.505467,0.750719,-3.660935,0.915330,2.315738,-3.653769,0.916336,2.537238,-3.602691,0.909383,2.422904,-3.941401,0.947049,2.363690,-3.944452,0.946026,2.505467,,,
1967,5.463889,0.009027,-0.005161,0.040716,-0.999117,-3.760552,0.926862,2.428969,0.000000,-3.660825,0.915336,2.315714,0.852480,-3.653687,0.916373,2.537215,0.836402,-3.602595,0.909396,2.422888,0.896544,-3.941292,0.947102,2.363625,0.921288,-3.944362,0.946100,2.505401,0.752809,-3.660825,0.915336,2.315714,-3.653687,0.916373,2.537215,-3.602595,0.909396,2.422888,-3.941292,0.947102,2.363625,-3.944362,0.946100,2.505401,,,
1968,5.466667,0.009277,-0.005442,0.040357,-0.999128,-3.760520,0.926906,2.428907,0.000000,-3.660851,0.915399,2.315598,0.855105,-3.653583,0.916546,2.537095,0.842776,-3.602554,0.909552,2.422741,0.894471,-3.941312,0.946987,2.363660,0.926564,-3.944299,0.946049,2.505438,0.750124,-3.660851,0.915399,2.315598,-3.653583,0.916546,2.537095,-3.602554,0.909552,2.422741,-3.941312,0.946987,2.363660,-3.944299,0.946049,2.505438,,,
1969,5.469444,0.008908,-0.005192,0.040520,-0.999126,-3.760422,0.926923,2.428864,0.000000,-3.660697,0.915465,2.315600,0.853387,-3.653547,0.916450,2.537102,0.844691,-3.602459,0.909522,2.422770,0.895608,-3.941173,0.947109,2.363535,0.923198,-3.944236,0.946071,2.505310,0.747308,-3.660697,0.915465,2.315600,-3.653547,0.916450,2.537102,-3.602459,0.909522,2.422770,-3.941173,0.947109,2.363535,-3.944236,0.946071,2.505310,,,
1970,5.472222,0.009051,-0.005309,0.040489,-0.999125,-3.760456,0.926953,2.428856,0.000000,-3.660758,0.915469,2.315571,0.856874,-3.653553,0.916516,2.537070,0.845010,-3.602493,0.909559,2.422728,0.902080,-3.941225,0.947109,2.363566,0.926010,-3.944252,0.946110,2.505343,0.744866,-3.660758,0.915469,2.315571,-3.653553,0.916516,2.537070,-3.602493,0.909559,2.422728,-3.941225,0.947109,2.363566,-3.944252,0.946110,2.505343,,,
1971,5.475000,0.009044,-0.005264,0.040426,-0.999128,-3.760437,0.926949,2.428905,0.000000,-3.660727,0.915479,2.315629,0.854055,-3.653543,0.916525,2.537128,0.842849,-3.602472,0.909576,2.422791,0.893664,-3.941202,0.947084,2.363599,0.927208,-3.944242,0.946083,2.505375,0.750368,-3.660727,0.915479,2.315629,-3.653543,0.916525,2.537128,-3.602472,0.909576,2.422791,-3.941202,0.947084,2.363599,-3.944242,0.946083,2.505375,,,
1972,5.477778,0.009006,-0.005290,0.040390,-0.999129,-3.760545,0.926917,2.428877,0.000000,-3.660839,0.915463,2.315596,0.852540,-3.653644,0.916492,2.537095,0.844262,-3.602578,0.909555,2.422754,0.895137,-3.941314,0.947044,2.363582,0.923990,-3.944347,0.946031,2.505358,0.746917,-3.660839,0.915463,2.315596,-3.653644,0.916492,2.537095,-3.602578,0.909555,2.422754,-3.941314,0.947044,2.363582,-3.944347,0.946031,2.505358,,,
1973,5.480556,0.009264,-0.005197,0.040201,-0.999135,-3.760571,0.926734,2.429018,0.000000,-3.660843,0.915260,2.315758,0.862571,-3.653684,0.916407,2.537258,0.857993,-3.602597,0.909430,2.422929,0.896432,-3.941338,0.946758,2.363683,0.926564,-3.944393,0.945818,2.505459,0.763737,-3.660843,0.915260,2.315758,-3.653684,0.916407,2.537258,-3.602597,0.909430,2.422929,-3.941338,0.946758,2.363683,-3.944393,0.945818,2.505459,,,
1974,5.483333,0.008975,-0.005420,0.040379,-0.999129,-3.760550,0.926933,2.428863,0.000000,-3.660873,0.915489,2.315554,0.858176,-3.653621,0.916502,2.537052,0.844957,-3.602584,0.909574,2.422698,0.902979,-3.941337,0.947061,2.363615,0.928368,-3.944333,0.946038,2.505393,0.749351,-3.660873,0.915489,2.315554,-3.653621,0.916502,2.537052,-3.602584,0.909574,2.422698,-3.941337,0.947061,2.363615,-3.944333,0.946038,2.505393,,,
1975,5.486111,0.009387,-0.005267,0.040345,-0.999128,-3.760526,0.926821,2.428947,0.000000,-3.660818,0.915290,2.315675,0.861762,-3.653626,0.916488,2.537174,0.852838,-3.602557,0.909469,2.422839,0.897481,-3.941297,0.946880,2.363634,0.926035,-3.944331,0.945976,2.505411,0.740558,-3.660818,0.915290,2.315675,-3.653626,0.916488,2.537174,-3.602557,0.909469,2.422839,-3.941297,0.946880,2.363634,-3.944331,0.945976,2.505411,,,
1976,5.488889,0.008817,-0.005272,0.040468,-0.999128,-3.760484,0.926961,2.428854,0.000000,-3.660775,0.915534,2.315573,0.870183,-3.653591,0.916479,2.537073,0.842859,-3.602520,0.909577,2.422733,0.906406,-3.941247,0.947141,2.363556,0.934120,-3.944288,0.946076,2.505332,0.752558,-3.660775,0.915534,2.315573,-3.653591,0.916479,2.537073,-3.602520,0.909577,2.422733,-3.941247,0.947141,2.363556,-3.944288,0.946076,2.505332,,,
1977,5.491667,0.008962,-0.005383,0.040423,-0.999128,-3.760529,0.926942,2.428877,0.000000,-3.660845,0.915492,2.315576,0.855051,-3.653609,0.916499,2.537075,0.842820,-3.602564,0.909570,2.422724,0.893701,-3.941309,0.947087,2.363617,0.926797,-3.944316,0.946061,2.505394,0.750371,-3.660845,0.915492,2.315577,-3.653609,0.916499,2.537075,-3.602564,0.909570,2.422724,-3.941309,0.947087,2.363617,-3.944315,0.946061,2.505394,,,
1978,5.494444,0.008781,-0.005219,0.040542,-0.999126,-3.760665,0.926867,2.428889,0.000000,-3.660944,0.915433,2.315618,0.858526,-3.653785,0.916362,2.537119,0.845610,-3.602702,0.909460,2.422784,0.902410,-3.941418,0.947078,2.363573,0.928076,-3.944474,0.946004,2.505348,0.750437,-3.660944,0.915433,2.315618,-3.653785,0.916362,2.537119,-3.602702,0.909460,2.422784,-3.941418,0.947078,2.363573,-3.944474,0.946004,2.505348,,,
1979,5.497222,0.008791,-0.005210,0.040466,-0.999129,-3.760454,0.926951,2.428776,0.000000,-3.660730,0.915530,2.315507,0.868930,-3.653574,0.916464,2.537009,0.844734,-3.602489,0.909568,2.422674,0.906621,-3.941209,0.947133,2.363457,0.931975,-3.944267,0.946061,2.505233,0.750661,-3.660730,0.915530,2.315507,-3.653574,0.916464,2.537009,-3.602489,0.909568,2.422674,-3.941209,0.947133,2.363457,-3.944267,0.946061,2.505233,,,
1980,5.500000,0.008812,-0.005049,0.040444,-0.999130,-3.760542,0.926937,2.428855,0.000000,-3.660782,0.915515,2.315619,0.870684,-3.653697,0.916461,2.537122,0.845423,-3.602574,0.909561,2.422804,0.905766,-3.941277,0.947107,2.363477,0.931737,-3.944381,0.946043,2.505252,0.750347,-3.660782,0.915515,2.315619,-3.653697,0.916461,2.537122,-3.602574,0.909561,2.422804,-3.941277,0.947107,2.363477,-3.944381,0.946043,2.505252,,,
1981,5.502778,0.009307,-0.005138,0.040013,-0.999143,-3.760472,0.926853,2.428777,0.000000,-3.660727,0.915406,2.315529,0.870684,-3.653593,0.916575,2.537030,0.845423,-3.602490,0.909608,2.422707,0.905766,-3.941239,0.946803,2.363420,0.931737,-3.944309,0.945875,2.505196,0.750347,-3.660727,0.915406,2.315529,-3.653593,0.916575,2.537030,-3.602490,0.909608,2.422707,-3.941239,0.946803,2.363420,-3.944309,0.945875,2.505196,,,
1982,5.505556,0.008966,-0.005043,0.040661,-0.999120,-3.760568,0.926882,2.428808,0.000000,-3.660812,0.915381,2.315576,0.866899,-3.653728,0.916393,2.537079,0.859935,-3.602608,0.909436,2.422764,0.902979,-3.941294,0.947110,2.363424,0.927192,-3.944399,0.946091,2.505198,0.760543,-3.660812,0.915381,2.315576,-3.653728,0.916393,2.537079,-3.602608,0.909436,2.422764,-3.941294,0.947110,2.363424,-3.944399,0.946091,2.505198,,,
1983,5.508333,0.009594,-0.005257,0.040398,-0.999124,-3.760545,0.926828,2.428851,0.000000,-3.660838,0.915240,2.315585,0.856826,-3.653646,0.916529,2.537083,0.845870,-3.602578,0.909457,2.422751,0.901799,-3.941313,0.946880,2.363529,0.925927,-3.944349,0.946034,2.505306,0.746585,-3.660838,0.915240,2.315585,-3.653646,0.916529,2.537083,-3.602578,0.909457,2.422751,-3.941313,0.946880,2.363529,-3.944349,0.946034,2.505306,,,
1984,5.511111,0.008890,-0.005205,0.040426,-0.999129,-3.760466,0.926938,2.428730,0.000000,-3.660741,0.915502,2.315464,0.878518,-3.653586,0.916480,2.536964,0.854750,-3.602499,0.909566,2.422631,0.902116,-3.941222,0.947092,2.363407,0.934782,-3.944281,0.946048,2.505182,0.757293,-3.660741,0.915502,2.315464,-3.653586,0.916480,2.536964,-3.602499,0.909566,2.422631,-3.941222,0.947092,2.363407,-3.944281,0.946048,2.505182,,,
1985,5.513889,0.008723,-0.005149,0.040660,-0.999122,-3.760533,0.926889,2.428754,0.000000,-3.660799,0.915444,2.315497,0.857157,-3.653672,0.916347,2.536999,0.846487,-3.602574,0.909445,2.422671,0.902726,-3.941272,0.947150,2.363414,0.926414,-3.944349,0.946061,2.505189,0.746183,-3.660799,0.915444,2.315497,-3.653672,0.916347,2.536999,-3.602574,0.909445,2.422671,-3.941272,0.947150,2.363414,-3.944349,0.946061,2.505189,,,
1986,5.516667,0.008540,-0.005273,0.040209,-0.999141,-3.760546,0.926945,2.428664,0.000000,-3.660829,0.915633,2.315378,0.869372,-3.653649,0.916457,2.536879,0.864038,-3.602573,0.909645,2.422535,0.909770,-3.941319,0.947068,2.363375,0.925672,-3.944360,0.945922,2.505151,0.763007,-3.660829,0.915633,2.315378,-3.653649,0.916457,2.536879,-3.602573,0.909645,2.422535,-3.941319,0.947068,2.363375,-3.944360,0.945922,2.505151,,,
1987,5.519444,0.008851,-0.005221,0.040405,-0.999131,-3.760545,0.926905,2.428748,0.000000,-3.660823,0.915482,2.315478,0.863781,-3.653661,0.916444,2.536978,0.858845,-3.602578,0.909540,2.422643,0.915326,-3.941304,0.947057,2.363431,0.925397,-3.944358,0.946002,2.505207,0.769359,-3.660823,0.915482,2.315478,-3.653661,0.916444,2.536978,-3.602578,0.909540,2.422643,-3.941304,0.947057,2.363431,-3.944358,0.946002,2.505207,,,
1988,5.522222,0.008811,-0.005462,0.040218,-0.999137,-3.760550,0.926947,2.428663,0.000000,-3.660878,0.915573,2.315344,0.857947,-3.653610,0.916515,2.536842,0.849678,-3.602580,0.909642,2.422481,0.900562,-3.941348,0.947039,2.363436,0.925854,-3.944334,0.945968,2.505213,0.768152,-3.660878,0.915573,2.315344,-3.653610,0.916515,2.536842,-3.602580,0.909642,2.422481,-3.941348,0.947039,2.363436,-3.944334,0.945968,2.505213,,,
1989,5.525000,0.008886,-0.005097,0.040625,-0.999122,-3.760550,0.926880,2.428704,0.000000,-3.660804,0.915404,2.315459,0.864941,-3.653697,0.916380,2.536962,0.856035,-3.602588,0.909445,2.422640,0.914145,-3.941283,0.947106,2.363340,0.928041,-3.944373,0.946063,2.505116,0.773176,-3.660804,0.915404,2.315459,-3.653697,0.916380,2.536962,-3.602588,0.909445,2.422640,-3.941283,0.947106,2.363340,-3.944373,0.946063,2.505116,,,
1990,5.527778,0.008896,-0.004972,0.040438,-0.999130,-3.760460,0.926909,2.428803,0.000000,-3.660682,0.915468,2.315584,0.859293,-3.653630,0.916453,2.537088,0.850472,-3.602491,0.909534,2.422779,0.909760,-3.941185,0.947065,2.363395,0.924255,-3.944309,0.946025,2.505170,0.751133,-3.660682,0.915468,2.315584,-3.653630,0.916453,2.537088,-3.602491,0.909534,2.422779,-3.941185,0.947065,2.363395,-3.944309,0.946025,2.505170,,,
1991,5.530556,0.008894,-0.005197,0.040765,-0.999116,-3.760574,0.926866,2.428747,0.000000,-3.660855,0.915361,2.315483,0.865523,-3.653703,0.916338,2.536984,0.841884,-3.602619,0.909387,2.422652,0.897657,-3.941316,0.947142,2.363420,0.931699,-3.944378,0.946102,2.505195,0.754354,-3.660855,0.915361,2.315483,-3.653703,0.916338,2.536984,-3.602619,0.909387,2.422652,-3.941316,0.947142,2.363420,-3.944378,0.946102,2.505195,,,
1992,5.533333,0.009101,-0.005338,0.040255,-0.999134,-3.760606,0.926910,2.428672,0.000000,-3.660909,0.915462,2.315382,0.860700,-3.653691,0.916533,2.536880,0.849635,-3.602635,0.909589,2.422535,0.904069,-3.941388,0.946975,2.363392,0.928388,-3.944405,0.945988,2.505169,0.758264,-3.660909,0.915462,2.315382,-3.653691,0.916533,2.536880,-3.602635,0.909589,2.422535,-3.941388,0.946975,2.363392,-3.944405,0.945988,2.505169,,,
1993,5.536111,0.009166,-0.005378,0.040282,-0.999132,-3.760629,0.926907,2.428662,0.000000,-3.660943,0.915439,2.315364,0.858800,-3.653705,0.916538,2.536862,0.847143,-3.602659,0.909577,2.422514,0.901218,-3.941415,0.946974,2.363394,0.929833,-3.944421,0.946005,2.505172,0.750614,-3.660943,0.915439,2.315364,-3.653705,0.916538,2.536862,-3.602659,0.909577,2.422514,-3.941415,0.946974,2.363394,-3.944421,0.946005,2.505172,,,
1994,5.538889,0.009126,-0.005321,0.040414,-0.999127,-3.760562,0.926891,2.428708,0.000000,-3.660866,0.915406,2.315422,0.858100,-3.653655,0.916487,2.536921,0.844980,-3.602597,0.909521,2.422578,0.902330,-3.941336,0.947011,2.363421,0.928607,-3.944358,0.946032,2.505198,0.749946,-3.660866,0.915406,2.315422,-3.653655,0.916487,2.536921,-3.602597,0.909521,2.422578,-3.941336,0.947011,2.363421,-3.944358,0.946032,2.505198,,,
1995,5.541667,0.009039,-0.005110,0.040548,-0.999124,-3.760477,0.926920,2.428741,0.000000,-3.660734,0.915426,2.315496,0.868159,-3.653618,0.916470,2.536998,0.841056,-3.602513,0.909508,2.422676,0.914387,-3.941216,0.947098,2.363379,0.925255,-3.944300,0.946098,2.505154,0.759095,-3.660734,0.915426,2.315496,-3.653618,0.916470,2.536998,-3.602513,0.909508,2.422676,-3.941216,0.947098,2.363379,-3.944300,0.946098,2.505154,,,
1996,5.544444,0.009067,-0.005326,0.040510,-0.999124,-3.760521,0.926954,2.428680,0.000000,-3.660827,0.915463,2.315392,0.871357,-3.653615,0.916516,2.536891,0.841255,-3.602559,0.909553,2.422547,0.906613,-3.941291,0.947116,2.363395,0.925029,-3.944313,0.946121,2.505172,0.764300,-3.660827,0.915463,2.315392,-3.653615,0.916516,2.536891,-3.602559,0.909553,2.422547,-3.941291,0.947116,2.363395,-3.944313,0.946121,2.505172,,,
1997,5.547222,0.009421,-0.005309,0.040084,-0.999138,-3.760530,0.926847,2.428648,0.000000,-3.660827,0.915361,2.315368,0.860864,-3.653615,0.916576,2.536866,0.846853,-3.602553,0.909577,2.422527,0.905303,-3.941318,0.946808,2.363350,0.928723,-3.944339,0.945911,2.505128,0.757798,-3.660827,0.915361,2.315368,-3.653615,0.916576,2.536866,-3.602553,0.909577,2.422527,-3.941318,0.946808,2.363350,-3.944339,0.945911,2.505128,,,
1998,5.550000,0.009364,-0.005159,0.040525,-0.999121,-3.760579,0.926900,2.428779,0.000000,-3.660850,0.915337,2.315529,0.862732,-3.653707,0.916525,2.537030,0.851840,-3.602615,0.909492,2.422706,0.894895,-3.941328,0.947027,2.363426,0.928908,-3.944394,0.946118,2.505203,0.743907,-3.660850,0.915337,2.315529,-3.653707,0.916525,2.537030,-3.602615,0.909492,2.422706,-3.941328,0.947027,2.363426,-3.944394,0.946118,2.505203,,,
1999,5.552778,0.009116,-0.005359,0.040537,-0.999122,-3.760510,0.926971,2.428644,0.000000,-3.660825,0.915464,2.315350,0.863601,-3.653597,0.916538,2.536848,0.835349,-3.602550,0.909561,2.422502,0.900526,-3.941283,0.947137,2.363370,0.928848,-3.944296,0.946156,2.505147,0.756845,-3.660825,0.915464,2.315350,-3.653597,0.916538,2.536848,-3.602550,0.909561,2.422502,-3.941283,0.947137,2.363370,-3.944296,0.946156,2.505147,,,
2000,5.555556,0.009216,-0.005182,0.040712,-0.999115,-3.760617,0.926872,2.428698,0.000000,-3.660896,0.915305,2.315441,0.858779,-3.653746,0.916425,2.536942,0.846203,-3.602660,0.909406,2.422614,0.902746,-3.941360,0.947086,2.363356,0.928533,-3.944423,0.946136,2.505133,0.749209,-3.660896,0.915305,2.315441,-3.653746,0.916425,2.536942,-3.602660,0.909406,2.422614,-3.941360,0.947086,2.363356,-3.944423,0.946136,2.505133,,,
2001,5.558333,0.009042,-0.005249,0.040432,-0.999128,-3.760502,0.927011,2.428665,0.000000,-3.660789,0.915540,2.315392,0.855634,-3.653611,0.916585,2.536892,0.836676,-3.602536,0.909635,2.422556,0.899103,-3.941265,0.947148,2.363354,0.919072,-3.944309,0.946146,2.505130,0.750984,-3.660789,0.915540,2.315392,-3.653611,0.916585,2.536892,-3.602536,0.909635,2.422556,-3.941265,0.947148,2.363354,-3.944309,0.946146,2.505130,,,
2002,5.561111,0.009122,-0.005366,0.040540,-0.999122,-3.760510,0.927030,2.428600,0.000000,-3.660826,0.915520,2.315305,0.859600,-3.653596,0.916597,2.536803,0.847615,-3.602550,0.909619,2.422456,0.904461,-3.941284,0.947196,2.363329,0.929124,-3.944295,0.946217,2.505106,0.756613,-3.660826,0.915520,2.315305,-3.653596,0.916597,2.536803,-3.602550,0.909619,2.422456,-3.941284,0.947196,2.363329,-3.944295,0.946217,2.505106,,,
2003,5.563889,0.009643,-0.005402,0.040214,-0.999130,-3.760601,0.926873,2.428668,0.000000,-3.660923,0.915312,2.315374,0.860172,-3.653666,0.916623,2.536870,0.848676,-3.602629,0.909560,2.422523,0.904410,-3.941396,0.946853,2.363398,0.928541,-3.944388,0.946018,2.505177,0.757523,-3.660923,0.915312,2.315374,-3.653666,0.916623,2.536870,-3.602629,0.909560,2.422523,-3.941396,0.946853,2.363398,-3.944388,0.946018,2.505177,,,
2004,5.566667,0.009200,-0.005275,0.040672,-0.999116,-3.760729,0.926850,2.428728,0.000000,-3.661028,0.915296,2.315453,0.857989,-3.653837,0.916408,2.536952,0.844099,-3.602772,0.909397,2.422615,0.901139,-3.941486,0.947053,2.363421,0.928620,-3.944522,0.946098,2.505198,0.749331,-3.661028,0.915296,2.315453,-3.653837,0.916408,2.536952,-3.602772,0.909397,2.422615,-3.941486,0.947053,2.363421,-3.944522,0.946098,2.505198,,,
